day,pH,conductivity,temperature,TDS,chloride,sulfate,magnesium,calcium,alkalinity,hardness
0,7.5018,880.25,28.0,586.8333333333334,70.42,62.875,55.330000000000005,150.9,276.65000000000003,206.23000000000002
1,7.5036000000000005,885.5000000000001,28.1,590.3333333333334,70.84,63.25000000000001,55.660000000000004,151.8,278.3,207.46
2,7.5054,890.7500000000001,28.2,593.8333333333334,71.26,63.62500000000001,55.99000000000001,152.70000000000002,279.95000000000005,208.69000000000003
3,7.5072,896.0000000000002,28.3,597.3333333333335,71.68,64.00000000000001,56.32000000000001,153.60000000000002,281.6000000000001,209.92000000000002
4,7.509,901.2500000000002,28.4,600.8333333333335,72.10000000000002,64.37500000000001,56.65000000000001,154.50000000000003,283.25000000000006,211.15000000000003
5,7.510800000000001,906.5000000000002,28.5,604.3333333333335,72.52000000000002,64.75000000000001,56.98000000000002,155.40000000000003,284.9000000000001,212.38000000000005
6,7.5126,911.7500000000003,28.6,607.8333333333336,72.94000000000003,65.12500000000003,57.31000000000002,156.30000000000004,286.55000000000007,213.61000000000007
7,7.5144,917.0000000000003,28.7,611.3333333333336,73.36000000000003,65.50000000000003,57.64000000000002,157.20000000000005,288.2000000000001,214.84000000000006
8,7.5162,922.2500000000003,28.8,614.8333333333336,73.78000000000003,65.87500000000003,57.97000000000003,158.10000000000008,289.85000000000014,216.0700000000001
9,7.518000000000001,927.5000000000005,28.9,618.3333333333336,74.20000000000003,66.25000000000003,58.300000000000026,159.00000000000009,291.5000000000001,217.30000000000013
10,7.5198,932.7500000000005,29.0,621.8333333333336,74.62000000000003,66.62500000000003,58.63000000000003,159.9000000000001,293.15000000000015,218.53000000000011
11,7.5216,938.0000000000006,29.1,625.3333333333337,75.04000000000005,67.00000000000004,58.960000000000036,160.8000000000001,294.8000000000002,219.76000000000013
12,7.5234000000000005,943.2500000000006,29.2,628.8333333333337,75.46000000000005,67.37500000000004,59.290000000000035,161.7000000000001,296.45000000000016,220.99000000000012
13,7.525200000000001,948.5000000000006,29.3,632.3333333333337,75.88000000000005,67.75000000000004,59.62000000000004,162.6000000000001,298.1000000000002,222.22000000000014
14,7.527,953.7500000000007,29.4,635.8333333333338,76.30000000000005,68.12500000000004,59.95000000000004,163.5000000000001,299.7500000000002,223.45000000000016
15,7.5288,959.0000000000007,29.5,639.3333333333338,76.72000000000006,68.50000000000006,60.280000000000044,164.40000000000012,301.4000000000002,224.68000000000018
16,7.530600000000001,964.2500000000008,29.6,642.8333333333338,77.14000000000006,68.87500000000006,60.61000000000005,165.30000000000013,303.05000000000024,225.91000000000017
17,7.532400000000001,969.5000000000008,29.7,646.3333333333338,77.56000000000006,69.25000000000006,60.94000000000005,166.20000000000013,304.7000000000003,227.14000000000019
18,7.5342,974.7500000000008,29.8,649.8333333333338,77.98000000000006,69.62500000000006,61.27000000000005,167.10000000000014,306.35000000000025,228.37000000000018
19,7.5360000000000005,980.0000000000009,29.9,653.3333333333339,78.40000000000006,70.00000000000006,61.60000000000005,168.00000000000014,308.0000000000003,229.6000000000002
20,7.537800000000001,985.2500000000009,30.0,656.8333333333339,78.82000000000008,70.37500000000007,61.93000000000006,168.90000000000015,309.65000000000026,230.8300000000002
21,7.5396,990.5000000000009,30.1,660.3333333333339,79.24000000000008,70.75000000000007,62.26000000000006,169.80000000000015,311.3000000000003,232.06000000000023
22,7.5414,995.750000000001,30.2,663.833333333334,79.66000000000008,71.12500000000007,62.59000000000006,170.70000000000016,312.95000000000033,233.29000000000022
23,7.543200000000001,1001.000000000001,30.3,667.333333333334,80.08000000000008,71.50000000000007,62.920000000000066,171.6000000000002,314.6000000000003,234.52000000000027
